27,26.5,26,30,30,32,27,21,25,30,26,25,NA,NA,NA
30,27,29,28,28,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,35,36,37,37,34,32,30,29,27,27,21,NA,NA,NA
33,32.5,32,33,32,31,35,32,31,30,33,NA,NA,NA,NA
21,19,24,21,19,18,14,12,11,11,14,10,10,NA,NA
30,30,30,28,27,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,22,22,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,30,32,31,28,30,27,27,27,24,23,20,NA,NA,NA
37,36,36,37,34,36,35,32,33,28,29,27,NA,NA,NA
31,34,32,31,30,24,17,20,18,11,10,NA,NA,NA,NA
25,22,20,20,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,37,37,32,33,32,33,31,NA,NA,NA,NA,NA,NA,NA
30,30,27,28,23,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,28,28,21,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,33,35,33,28,29,27,29,24,24,24,25,NA,NA,NA
31,27,27,26,21,23,21,NA,NA,NA,NA,NA,NA,NA,NA
28,28,26,26,23,25,25,25,25,26,26,25,NA,NA,NA
28,32,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,35,31,31,30,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,28,27,29,27,27,28,26,24,26,23,23,15,NA,NA
18,18.5,19,17,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,23,23,20,18,16,14,13,12,15,13,13,NA,NA,NA
23,22,19,18,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,36,36,32,32,31,29,29,29,28,27,24,NA,NA,NA
20,21,13,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,19.5,19,16,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,33,34,33,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,32,30,29,22,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,33,31,30,27,28,27,26,24,25,22,20,NA,NA,NA
26,24,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,31,27,27,27,23,21,NA,NA,NA,NA,NA,NA,NA,NA
30,30,29,29,29,28,27,27,27,26,24,24,NA,NA,NA
30,30,29,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,31,29,33,32,30,30,29,24,22,21,19,12,NA,NA
21,20,23,14,15,12,14,8,7,6,6,6,NA,NA,NA
32,32,34,31,31,30,28,28,25,26,26,18,NA,NA,NA
37,28,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,29.5,28,28,30,30,28,28,27,27,28,25,NA,NA,NA
26,26,28,27,28,26,18,NA,NA,NA,NA,NA,NA,NA,NA
33,35,34,33,33,32,31,NA,NA,NA,NA,NA,NA,NA,NA
31,30,29,29,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,32.5,34,32,32,29,29,28,29,31,32,28,NA,NA,NA
23,21,19,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,30,29,29,27,27,26,NA,NA,NA,NA,NA,NA,NA,NA
24,19,20,19,19,19,19,16,15,12,10,8,NA,NA,NA
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,33,32,31,31,25,26,25,NA,NA,NA,NA,NA,NA,NA
34,33.5,33,34,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,19,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,28,22,22,19,17,15,14,10,12,11,11,10,9,NA
29,29.5,30,31,30,31,28,29,29,28,26,27,NA,NA,NA
28,29,30,28,25,23,23,23,23,23,20,17,NA,NA,NA
29,29,28,28,31,33,26,20,14,22,13,NA,NA,NA,NA
24,24,24,24,23,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,26,26,18,13,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,29,29,29,27,25,23,20,19,21,17,14,NA,NA,NA
33,35,34,33,34,35,32,NA,NA,NA,NA,NA,NA,NA,NA
24,24,24,27,23,31,23,23,22,22,25,25,NA,NA,NA
32,28,23,25,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,37,37,37,36,36,37,NA,NA,NA,NA,NA,NA,NA,NA
28,27,26,26,28,28,28,29,29,27,27,27,NA,NA,NA
36,35,34,31,30,31,31,30,30,29,29,30,NA,NA,NA
35,34,32,32,23,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,14,13,14,13,12,15,NA,NA,NA,NA,NA,NA,NA,NA
35,35,35,33,30,22,19,14,9,NA,NA,NA,NA,NA,NA
31,34,34,34,31,31,30,28,27,27,27,22,NA,NA,NA
22,25,26,24,24,23,20,22,25,21,22,18,NA,NA,NA
30,31,32,28,28,23,23,22,19,20,17,9,NA,NA,NA
21,22,14,18,13,13,8,6,2,NA,NA,NA,NA,NA,NA
16,16,16,13,9,4,5,5,NA,NA,NA,NA,NA,NA,NA
27,27,20,15,13,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,17,21,18,21,17,18,18,15,19,16,15,NA,NA,NA
25,25,19,19,17,14,10,9,9,NA,NA,NA,NA,NA,NA
33,32,32,31,31,33,29,25,24,NA,NA,NA,NA,NA,NA
28,26,21,22,20,14,14,15,13,12,12,NA,NA,NA,NA
28,28,29,25,28,28,26,26,27,26,27,27,27,26,NA
27,21,21,18,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,22,20,21,18,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,37,32,37,38,35,37,37,34,30,29,NA,NA,NA,NA
36,36,36,36,36,36,36,36,36,36,36,36,NA,NA,NA
34,34,32,29,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,28,30,30,31,32,31,31,31,30,29,25,NA,NA,NA
28,22,21,20,20,23,14,10,NA,NA,NA,NA,NA,NA,NA
29,26,25,25,23,21,19,17,17,17,15,15,NA,NA,NA
23,23,18,17,11,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,28,25,23,23,21,19,19,18,16,14,14,NA,NA,NA
33,34,32,30,28,27,26,24,NA,NA,NA,NA,NA,NA,NA
35,34.5,34,31,30,30,30,30,29,27,NA,NA,NA,NA,NA
38,37,38,38,36,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,31,32,34,30,32,33,NA,NA,NA,NA,NA,NA,NA,NA
35,34,33,33,33,31,31,NA,NA,NA,NA,NA,NA,NA,NA
24,18,16,15,15,14,11,NA,NA,NA,NA,NA,NA,NA,NA
30,24,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,32,32,31,32,30,29,28,25,25,19,NA,NA,NA,NA
21,19.5,18,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,40,38,38,37,37,37,37,35,33,32,31,27,NA,NA
28,27,34,31,29,30,29,29,28,30,29,27,NA,NA,NA
35,35,34,33,31,31,28,NA,NA,NA,NA,NA,NA,NA,NA
29,29.5,30,26,28,24,26,25,26,25,20,18,NA,NA,NA
35,33,34,31,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,32,30,24,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,25,24,21,19,20,22,21,20,22,21,19,NA,NA,NA
31,37,31,30,25,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,24,27,25,19,21,16,14,18,13,11,12,NA,NA,NA
33,30,30,29,28,28,26,25,20,16,15,13,NA,NA,NA
29,30,30,29,30,27,28,28,26,24,24,20,NA,NA,NA
33,30,31,29,26,26,26,18,17,16,16,13,NA,NA,NA
29,29,29,27,28,26,27,23,24,23,23,20,NA,NA,NA
27,24,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,37,33,36,35,37,33,34,33,33,32,32,NA,NA,NA
34,34,33,32,32,31,29,NA,NA,NA,NA,NA,NA,NA,NA
33,33,33,32,31,28,24,25,19,15,9,8,NA,NA,NA
31,30,29,30,30,29,29,27,27,26,26,26,NA,NA,NA
29,30,31,35,34,32,32,30,30,32,32,35,NA,NA,NA
22,22,22,20,20,20,17,18,18,18,17,17,NA,NA,NA
40,37,37,40,40,40,40,NA,NA,NA,NA,NA,NA,NA,NA
36,35,27,19,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,29.5,30,30,27,28,29,28,29,26,26,24,NA,NA,NA
35,35,33,33,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,28,25,26,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,30,27,27,22,20,18,NA,NA,NA,NA,NA,NA,NA,NA
34,33,34,31,31,30,28,NA,NA,NA,NA,NA,NA,NA,NA
32,35,36,36,34,32,30,30,24,25,23,20,NA,NA,NA
32,31,26,30,31,31,26,23,20,19,15,NA,NA,NA,NA
32,32,31,31,31,31,28,28,27,25,22,23,23,21,NA
36,37,35,36,36,38,30,NA,NA,NA,NA,NA,NA,NA,NA
24,24,23,27,25,22,21,21,17,17,16,17,NA,NA,NA
35,34,35,32,32,32,31,30,30,30,25,25,NA,NA,NA
31,31,32,29,29,27,30,29,29,28,29,28,NA,NA,NA
26,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,32,30,27,25,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,25,20,21,21,22,19,17,15,14,13,11,NA,NA,NA
33,28,28,30,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,31,30,30,28,29,29,29,29,30,29,29,NA,NA,NA
31,27,25,22,19,15,14,10,NA,NA,NA,NA,NA,NA,NA
34,35,30,30,30,32,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,18,17,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,27,27,27,27,26,21,21,16,18,17,14,NA,NA,NA
16,15,17,20,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,28,27,28,27,24,23,21,21,15,13,NA,NA,NA,NA
36,33,31,26,18,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,36,36,35,33,33,33,NA,NA,NA,NA,NA,NA,NA,NA
30,28,29,32,32,32,32,31,30,28,25,25,NA,NA,NA
21,23,25,18,20,18,18,12,11,9,6,NA,NA,NA,NA
27,24,27,17,21,22,20,15,12,12,NA,NA,NA,NA,NA
26,21,20,18,16,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,29,30,30,27,29,20,NA,NA,NA,NA,NA,NA,NA,NA
21,18,15,15,15,15,14,14,13,13,13,13,NA,NA,NA
38,38,36,35,35,36,35,33,33,33,28,29,NA,NA,NA
34,33,32,31,31,32,32,31,31,31,31,NA,NA,NA,NA
30,30.5,31,30,30,23,20,19,19,18,15,12,NA,NA,NA
33,33,30,34,31,33,33,32,31,31,28,28,29,28,NA
30,30.5,31,29,31,35,32,NA,NA,NA,NA,NA,NA,NA,NA
32,29,26,25,22,20,23,21,NA,NA,NA,NA,NA,NA,NA
32,28,30,28,29,29,25,29,24,19,19,16,NA,NA,NA
30,30,30,30,31,30,30,30,27,28,25,25,NA,NA,NA
30,27,26,22,19,13,10,7,2,NA,NA,NA,NA,NA,NA
32,30,24,20,17,18,14,15,12,10,9,9,9,5,NA
30,30,28,27,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,28,27,25,25,24,22,20,18,18,17,NA,NA,NA,NA
